date,country,rank,previousRank,totalPoints,previousPoints,flagUrl,countryUrl,conf
2023-12-21,Argentina,1,1,1855.2,1855.2,https://api.fifa.com/api/v3/picture/flags-sq-2/ARG,https://www.fifa.com/fifa-world-ranking/ARG,CONMEBOL
2023-12-21,France,2,2,1845.44,1845.44,https://api.fifa.com/api/v3/picture/flags-sq-2/FRA,https://www.fifa.com/fifa-world-ranking/FRA,UEFA
2023-12-21,England,3,3,1800.05,1800.05,https://api.fifa.com/api/v3/picture/flags-sq-2/ENG,https://www.fifa.com/fifa-world-ranking/ENG,UEFA
2023-12-21,Belgium,4,4,1798.46,1798.46,https://api.fifa.com/api/v3/picture/flags-sq-2/BEL,https://www.fifa.com/fifa-world-ranking/BEL,UEFA
2023-12-21,Brazil,5,5,1784.09,1784.09,https://api.fifa.com/api/v3/picture/flags-sq-2/BRA,https://www.fifa.com/fifa-world-ranking/BRA,CONMEBOL
2023-12-21,Netherlands,6,6,1745.48,1745.48,https://api.fifa.com/api/v3/picture/flags-sq-2/NED,https://www.fifa.com/fifa-world-ranking/NED,UEFA
2023-12-21,Portugal,7,7,1745.06,1745.06,https://api.fifa.com/api/v3/picture/flags-sq-2/POR,https://www.fifa.com/fifa-world-ranking/POR,UEFA
2023-12-21,Spain,8,8,1732.64,1732.64,https://api.fifa.com/api/v3/picture/flags-sq-2/ESP,https://www.fifa.com/fifa-world-ranking/ESP,UEFA
2023-12-21,Italy,9,9,1718.82,1718.82,https://api.fifa.com/api/v3/picture/flags-sq-2/ITA,https://www.fifa.com/fifa-world-ranking/ITA,UEFA
2023-12-21,Croatia,10,10,1717.57,1717.57,https://api.fifa.com/api/v3/picture/flags-sq-2/CRO,https://www.fifa.com/fifa-world-ranking/CRO,UEFA
2023-12-21,Uruguay,11,11,1665.99,1665.99,https://api.fifa.com/api/v3/picture/flags-sq-2/URU,https://www.fifa.com/fifa-world-ranking/URU,CONMEBOL
2023-12-21,United States,12,12,1665.27,1665.27,https://api.fifa.com/api/v3/picture/flags-sq-2/USA,https://www.fifa.com/fifa-world-ranking/USA,CONCACAF
2023-12-21,Morocco,13,13,1661.69,1661.69,https://api.fifa.com/api/v3/picture/flags-sq-2/MAR,https://www.fifa.com/fifa-world-ranking/MAR,CAF
2023-12-21,Colombia,14,15,1655.29,1651.2,https://api.fifa.com/api/v3/picture/flags-sq-2/COL,https://www.fifa.com/fifa-world-ranking/COL,CONMEBOL
2023-12-21,Mexico,15,14,1652.7,1655.21,https://api.fifa.com/api/v3/picture/flags-sq-2/MEX,https://www.fifa.com/fifa-world-ranking/MEX,CONCACAF
2023-12-21,Germany,16,16,1631.22,1631.22,https://api.fifa.com/api/v3/picture/flags-sq-2/GER,https://www.fifa.com/fifa-world-ranking/GER,UEFA
2023-12-21,Japan,17,17,1620.19,1620.19,https://api.fifa.com/api/v3/picture/flags-sq-2/JPN,https://www.fifa.com/fifa-world-ranking/JPN,AFC
2023-12-21,Switzerland,18,18,1613.44,1613.44,https://api.fifa.com/api/v3/picture/flags-sq-2/SUI,https://www.fifa.com/fifa-world-ranking/SUI,UEFA
2023-12-21,Denmark,19,19,1601.31,1601.31,https://api.fifa.com/api/v3/picture/flags-sq-2/DEN,https://www.fifa.com/fifa-world-ranking/DEN,UEFA
2023-12-21,Senegal,20,20,1594.31,1594.31,https://api.fifa.com/api/v3/picture/flags-sq-2/SEN,https://www.fifa.com/fifa-world-ranking/SEN,CAF
2023-12-21,Iran,21,21,1565.08,1565.08,https://api.fifa.com/api/v3/picture/flags-sq-2/IRN,https://www.fifa.com/fifa-world-ranking/IRN,AFC
2023-12-21,Ukraine,22,22,1553.35,1553.35,https://api.fifa.com/api/v3/picture/flags-sq-2/UKR,https://www.fifa.com/fifa-world-ranking/UKR,UEFA
